-RECORD 0--------------------
 prev_year      | 2001       
 sales_amt_diff | null       
-RECORD 91-------------------
 prev_year      | 2001       
 year           | 2002       
 i_brand_id     | 9015002    
 i_class_id     | 15         
 i_category_id  | 9          
 i_manufact_id  | 531 5831   
 prev_yr_cnt    | 5029       
 curr_yr_cnt    | -802       
 sales_cnt_diff | -10846.84  
 sales_amt_diff | null       
-RECORD 92-------------------
 prev_year      | 2001       
 year           | 2002       
 i_brand_id     | 2004001    
 i_class_id     | 16         
 i_category_id  | 9          
 i_manufact_id  | 443 5269   
 prev_yr_cnt    | 4475       
 curr_yr_cnt    | -794       
 sales_cnt_diff | -28869.68  
 sales_amt_diff | null       
-RECORD 93-------------------
 prev_year      | 2001       
 year           | 2002       
 i_brand_id     | 9003010    
 i_class_id     | 3          
 i_category_id  | 9          
 i_manufact_id  | 269 6297   
 prev_yr_cnt    | 5505       
 curr_yr_cnt    | -792       
 sales_cnt_diff | -53827.19  
 sales_amt_diff | null       
-RECORD 94-------------------
 prev_year      | 2001       
 year           | 2002       
 i_brand_id     | 9007002    
 i_class_id     | 7          
 i_category_id  | 9          
 i_manufact_id  | 306 5398   
 prev_yr_cnt    | 4608       
 curr_yr_cnt    | -790       
 sales_cnt_diff | -67953.64  
 sales_amt_diff | null       
-RECORD 95-------------------
 prev_year      | 2001       
 year           | 2002       
 i_brand_id     | 9012004    
 i_class_id     | 12         
 i_category_id  | 9          
 i_manufact_id  | 808 5796   
 prev_yr_cnt    | 5006       
 curr_yr_cnt    | -790       
 sales_cnt_diff | -43025.36  
 sales_amt_diff | null       
-RECORD 96-------------------
 prev_year      | 2001       
 year           | 2002       
 i_brand_id     | 6015001    
 i_class_id     | 15         
 i_category_id  | 9          
 i_manufact_id  | 543 5041   
 prev_yr_cnt    | 4252       
 curr_yr_cnt    | -789       
 sales_cnt_diff | 3631.4     
 sales_amt_diff | null       
-RECORD 97-------------------
 prev_year      | 2001       
 year           | 2002       
 i_brand_id     | 9004012    
 i_class_id     | 4          
 i_category_id  | 9          
 i_manufact_id  | 621 5974   
 prev_yr_cnt    | 5186       
 curr_yr_cnt    | -788       
 sales_cnt_diff | 52156.56   
 sales_amt_diff | null       
-RECORD 98-------------------
 prev_year      | 2001       
 year           | 2002       
 i_brand_id     | 9010008    
 i_class_id     | 10         
 i_category_id  | 9          
 i_manufact_id  | 284 5382   
 prev_yr_cnt    | 4597       
 curr_yr_cnt    | -785       
 sales_cnt_diff | 22162.92   
 sales_amt_diff | null       
-RECORD 99-------------------
 prev_year      | 2001       
 year           | 2002       
 i_brand_id     | 9011002    
 i_class_id     | 11         
 i_category_id  | 9          
 i_manufact_id  | 42 5750    
 prev_yr_cnt    | 4968       
 curr_yr_cnt    | -782       
 sales_cnt_diff | -87125.33  
 sales_amt_diff | null
           
