-- Automatically generated by TPCDSQueryValidator$
-RECORD 0--------------------------------
 i_category        | Men                 
 nsum              | 2865.38             
-RECORD 93-------------------------------
 i_category        | Women               
 i_brand           | amalgamalg #1       
 s_store_name      | ought               
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 1                   
 avg_monthly_sales | 4619.707500         
 sum_sales         | 2065.94             
 psum              | 9639.59             
 nsum              | 2521.70             
-RECORD 94-------------------------------
 i_category        | Music               
 i_brand           | importoscholar #1   
 s_store_name      | ought               
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 4004.448333         
 sum_sales         | 1456.84             
 psum              | 2438.63             
 nsum              | 2790.03             
-RECORD 95-------------------------------
 i_category        | Shoes               
 i_brand           | edu packedu pack #1 
 s_store_name      | eing                
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 5                   
 avg_monthly_sales | 4664.861667         
 sum_sales         | 2122.71             
 psum              | 3131.02             
 nsum              | 2852.96             
-RECORD 96-------------------------------
 i_category        | Women               
 i_brand           | importoamalg #1     
 s_store_name      | bar                 
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 4437.210833         
 sum_sales         | 1895.27             
 psum              | 2678.48             
 nsum              | 2999.04             
-RECORD 97-------------------------------
 i_category        | Music               
 i_brand           | exportischolar #1   
 s_store_name      | able                
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 5090.105000         
 sum_sales         | 2550.48             
 psum              | 3702.29             
 nsum              | 2966.36             
-RECORD 98-------------------------------
 i_category        | Music               
 i_brand           | edu packscholar #1  
 s_store_name      | able                
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 1                   
 avg_monthly_sales | 5335.908333         
 sum_sales         | 2796.97             
 psum              | 13360.68            
 nsum              | 3413.22             
-RECORD 99-------------------------------
 i_category        | Children            
 i_brand           | exportiexporti #1   
 s_store_name      | eing                
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 5109.654167         
 sum_sales         | 2574.12             
 psum              | 2685.10             
 nsum              | 2672.73
           
